N,P,K,temperature,humidity,ph,rainfall,label,Price_kg,kg_per_acre
152.00,102.00,42.00,26.48,78.52,3.26,53.00,banana,1.25,14000
66.00,42.00,15.00,28.84,63.37,7.74,53.00,blackgram,0.59,800
32.00,54.00,22.00,29.68,69.09,12.27,53.00,blackgram,0.59,800
40.00,83.00,51.00,17.93,14.27,7.22,53.00,chickpea,0.78,1000
24.00,131.00,173.00,15.31,80.10,6.57,53.00,grapes,1.2,5000
15.00,57.00,15.00,18.13,62.46,9.41,53.00,lentil,1.12,800
13.00,65.00,23.00,20.77,63.90,9.93,53.00,lentil,1.12,800
80.00,47.00,17.00,25.11,55.98,7.49,53.00,maize,0.32,2600
90.00,17.00,55.00,26.71,81.14,7.84,53.00,watermelon,0.4,17700
16.00,36.00,16.00,27.93,85.42,5.95,53.76,mungbean,2.7,600
28.00,40.00,18.00,29.46,87.61,8.59,53.90,mungbean,2.7,600
25.00,37.00,21.00,27.69,81.94,7.74,53.96,mungbean,2.7,600
137.00,52.00,8.00,22.77,82.60,7.43,54.00,cotton,0.55,365
21.00,83.00,29.00,28.42,61.77,5.08,54.00,lentil,1.12,800
25.00,63.00,25.00,23.05,60.42,6.33,54.00,lentil,1.12,800
16.00,26.00,39.00,30.17,51.08,5.96,54.00,mango,0.76,3000
137.00,20.00,53.00,26.75,83.92,5.30,54.00,watermelon,0.4,17700
68.00,12.00,58.00,26.27,83.09,6.18,54.00,watermelon,0.4,17700
85.00,16.00,38.00,26.90,86.25,6.48,54.00,watermelon,0.4,17700
14.00,53.00,28.00,28.33,80.77,5.49,54.21,mungbean,2.7,600
28.00,30.00,9.00,27.96,83.98,9.39,54.41,mungbean,2.7,600
22.00,44.00,23.00,27.90,88.72,7.33,54.45,mungbean,2.7,600
16.00,50.00,16.00,28.74,85.82,8.51,54.45,mungbean,2.7,600
16.00,59.00,29.00,27.01,84.34,6.85,54.49,mungbean,2.7,600
23.00,65.00,13.00,27.34,88.50,5.29,54.82,mungbean,2.7,600
46.00,107.00,27.00,30.20,60.07,4.74,55.00,blackgram,0.59,800
42.00,53.00,18.00,30.42,67.66,5.51,55.00,blackgram,0.59,800
25.00,114.00,245.00,30.73,82.43,6.11,55.00,grapes,1.2,5000
15.00,138.00,83.00,34.76,81.04,6.92,55.00,grapes,1.2,5000
18.00,91.00,8.00,19.44,63.28,4.73,55.00,lentil,1.12,800
14.00,61.00,18.00,28.84,69.76,5.99,55.00,lentil,1.12,800
25.00,97.00,29.00,29.85,60.64,7.49,55.00,lentil,1.12,800
17.00,70.00,8.00,18.30,69.69,8.84,55.00,lentil,1.12,800
114.00,48.00,25.00,24.92,66.79,5.66,55.00,maize,0.32,2600
67.00,15.00,64.00,26.90,83.89,5.54,55.00,watermelon,0.4,17700
7.00,39.00,17.00,27.31,85.45,7.18,55.10,mungbean,2.7,600
15.00,48.00,26.00,29.26,81.98,9.07,55.14,mungbean,2.7,600
18.00,30.00,16.00,27.24,86.40,6.53,55.42,mungbean,2.7,600
28.00,55.00,12.00,28.15,83.80,7.37,55.67,mungbean,2.7,600
28.00,51.00,25.00,27.73,81.14,5.57,55.89,mungbean,2.7,600
31.00,66.00,25.00,28.54,64.20,6.59,56.00,blackgram,0.59,800
45.00,70.00,20.00,30.09,69.35,9.48,56.00,blackgram,0.59,800
11.00,73.00,25.00,25.66,61.18,10.78,56.00,blackgram,0.59,800
38.00,81.00,78.00,17.48,17.93,7.24,56.00,chickpea,0.78,1000
80.00,55.00,16.00,25.72,81.20,6.79,56.00,cotton,0.55,365
28.00,133.00,272.00,23.82,80.12,5.80,56.00,grapes,1.2,5000
13.00,141.00,262.00,9.95,82.55,7.46,56.00,grapes,1.2,5000
19.00,59.00,19.00,20.93,21.19,4.43,56.00,kidneybeans,1.21,2000
27.00,86.00,14.00,20.28,23.24,4.61,56.00,kidneybeans,1.21,2000
88.00,37.00,21.00,26.17,71.96,3.46,56.00,maize,0.32,2600
77.00,33.00,25.00,23.02,61.89,7.51,56.00,maize,0.32,2600
91.00,18.00,38.00,25.50,81.40,5.12,56.00,watermelon,0.4,17700
22.00,32.00,24.00,28.17,83.70,9.78,56.22,mungbean,2.7,600
26.00,42.00,14.00,29.89,89.72,7.40,56.25,mungbean,2.7,600
17.00,33.00,18.00,28.61,86.99,7.51,56.33,mungbean,2.7,600
27.00,37.00,21.00,27.63,86.49,4.74,56.36,mungbean,2.7,600
17.00,55.00,18.00,28.30,86.21,5.35,56.49,mungbean,2.7,600
17.00,51.00,14.00,28.14,82.12,5.66,56.58,mungbean,2.7,600
13.00,59.00,21.00,28.44,83.49,7.27,56.64,mungbean,2.7,600
31.00,73.00,20.00,32.48,64.35,4.31,57.00,blackgram,0.59,800
62.00,105.00,25.00,30.33,63.55,7.06,57.00,blackgram,0.59,800
37.00,29.00,14.00,28.57,61.53,7.30,57.00,blackgram,0.59,800
65.00,58.00,105.00,17.18,16.43,6.89,57.00,chickpea,0.78,1000
27.00,183.00,273.00,18.43,80.56,5.27,57.00,grapes,1.2,5000
23.00,99.00,13.00,21.63,21.18,5.73,57.00,kidneybeans,1.21,2000
22.00,64.00,28.00,26.72,62.97,5.47,57.00,lentil,1.12,800
20.00,60.00,10.00,23.83,67.90,7.94,57.00,lentil,1.12,800
13.00,69.00,20.00,21.91,65.22,8.51,57.00,lentil,1.12,800
20.00,82.00,31.00,27.52,63.13,8.71,57.00,lentil,1.12,800
19.00,98.00,21.00,28.05,63.50,8.88,57.00,lentil,1.12,800
109.00,39.00,106.00,24.98,84.00,4.09,57.00,pineapple,1.1,10000
19.00,20.00,64.00,22.92,85.13,6.92,57.00,pomegranate,0.74,1700
18.00,15.00,36.00,20.13,87.60,7.83,57.00,pomegranate,0.74,1700
121.00,14.00,55.00,25.83,89.00,4.17,57.00,watermelon,0.4,17700
110.00,18.00,45.00,24.37,87.13,7.32,57.00,watermelon,0.4,17700
20.00,64.00,25.00,28.07,82.91,8.56,57.13,mungbean,2.7,600
14.00,48.00,7.00,29.13,88.48,8.11,57.37,mungbean,2.7,600
15.00,55.00,18.00,27.43,87.81,8.04,57.81,mungbean,2.7,600
44.00,82.00,22.00,25.37,66.64,5.43,58.00,blackgram,0.59,800
38.00,78.00,24.00,33.39,62.94,7.21,58.00,blackgram,0.59,800
58.00,110.00,29.00,27.44,67.10,7.62,58.00,blackgram,0.59,800
60.00,78.00,16.00,32.82,66.16,9.29,58.00,blackgram,0.59,800
30.00,66.00,41.00,17.50,15.48,5.79,58.00,chickpea,0.78,1000
52.00,49.00,124.00,17.44,14.34,10.29,58.00,chickpea,0.78,1000
80.00,56.00,23.00,22.61,77.34,6.69,58.00,cotton,0.55,365
106.00,20.00,15.00,22.01,81.84,7.09,58.00,cotton,0.55,365
20.00,130.00,230.00,11.83,80.28,6.09,58.00,grapes,1.2,5000
28.00,84.00,19.00,20.21,68.65,8.95,58.00,lentil,1.12,800
102.00,53.00,18.00,19.33,68.03,4.53,58.00,maize,0.32,2600
81.00,59.00,22.00,24.61,70.42,6.48,58.00,maize,0.32,2600
21.00,17.00,13.00,19.14,90.71,7.23,58.00,orange,0.46,4800
133.00,22.00,60.00,26.18,86.52,6.26,58.00,watermelon,0.4,17700
124.00,17.00,53.00,25.71,80.23,6.76,58.00,watermelon,0.4,17700
140.00,18.00,57.00,25.28,83.15,9.44,58.00,watermelon,0.4,17700
23.00,37.00,12.00,28.80,80.46,9.20,58.37,mungbean,2.7,600
19.00,31.00,22.00,28.88,86.94,9.37,58.60,mungbean,2.7,600
34.00,81.00,22.00,27.05,67.70,3.91,59.00,blackgram,0.59,800
52.00,81.00,25.00,31.74,68.64,5.92,59.00,blackgram,0.59,800
24.00,84.00,77.00,18.32,15.36,5.40,59.00,chickpea,0.78,1000
66.00,76.00,112.00,17.02,16.99,9.27,59.00,chickpea,0.78,1000
182.00,24.00,21.00,25.97,81.98,6.26,59.00,cotton,0.55,365
188.00,56.00,20.00,24.55,75.40,6.72,59.00,cotton,0.55,365
124.00,36.00,18.00,22.46,75.41,7.68,59.00,cotton,0.55,365
26.00,179.00,176.00,16.78,82.75,3.55,59.00,grapes,1.2,5000
18.00,127.00,210.00,13.29,83.54,4.54,59.00,grapes,1.2,5000
18.00,127.00,175.00,18.74,81.12,6.09,59.00,grapes,1.2,5000
24.00,98.00,135.00,8.83,82.90,6.31,59.00,grapes,1.2,5000
18.00,63.00,24.00,21.81,23.21,6.31,59.00,kidneybeans,1.21,2000
85.00,43.00,19.00,22.81,56.51,6.00,59.00,maize,0.32,2600
144.00,52.00,180.00,23.47,90.00,5.81,59.00,pineapple,1.1,10000
106.00,16.00,35.00,26.20,80.38,3.66,59.00,watermelon,0.4,17700
76.00,20.00,49.00,26.21,87.69,4.99,59.00,watermelon,0.4,17700
123.00,10.00,39.00,25.82,82.04,5.59,59.00,watermelon,0.4,17700
125.00,19.00,52.00,26.81,88.23,5.84,59.00,watermelon,0.4,17700
118.00,14.00,36.00,26.47,80.92,7.66,59.00,watermelon,0.4,17700
102.00,10.00,57.00,25.43,82.91,7.84,59.00,watermelon,0.4,17700
30.00,40.00,21.00,29.01,84.96,7.65,59.12,mungbean,2.7,600
22.00,61.00,15.00,28.09,80.35,7.35,59.72,mungbean,2.7,600
56.00,58.00,63.00,19.02,17.13,5.06,60.00,chickpea,0.78,1000
65.00,90.00,70.00,20.66,15.85,10.71,60.00,chickpea,0.78,1000
165.00,56.00,16.00,24.69,81.74,6.50,60.00,cotton,0.55,365
124.00,34.00,14.00,24.29,81.02,7.56,60.00,cotton,0.55,365
20.00,145.00,202.00,15.99,81.24,5.83,60.00,grapes,1.2,5000
22.00,133.00,228.00,30.00,81.54,5.95,60.00,grapes,1.2,5000
30.00,108.00,194.00,24.58,80.71,7.91,60.00,grapes,1.2,5000
22.00,60.00,28.00,23.34,67.40,7.15,60.00,lentil,1.12,800
83.00,66.00,27.00,18.65,61.38,5.14,60.00,maize,0.32,2600
87.00,20.00,60.00,26.63,84.32,4.67,60.00,watermelon,0.4,17700
85.00,22.00,43.00,26.49,88.59,5.01,60.00,watermelon,0.4,17700
109.00,16.00,61.00,26.66,89.98,7.43,60.00,watermelon,0.4,17700
70.00,14.00,46.00,25.44,87.94,8.04,60.00,watermelon,0.4,17700
22.00,40.00,26.00,29.16,80.28,4.34,60.08,mungbean,2.7,600
17.00,38.00,17.00,28.66,86.12,6.01,60.25,mungbean,2.7,600
21.00,47.00,10.00,28.36,84.86,8.23,60.55,mungbean,2.7,600
18.00,121.00,107,21.11,90.32,6.58,61.00,apple,0.68,7300
101.00,72.00,76.00,27.40,81.11,4.41,61.00,banana,1.25,14000
42.00,49.00,20.00,27.81,62.50,4.90,61.00,blackgram,0.59,800
52.00,67.00,23.00,29.38,64.15,9.63,61.00,blackgram,0.59,800
36.00,68.00,66.00,17.57,16.72,4.96,61.00,chickpea,0.78,1000
98.00,40.00,25.00,23.46,82.45,5.96,61.00,cotton,0.55,365
136.00,28.00,27.00,25.55,77.85,6.39,61.00,cotton,0.55,365
19.00,90.00,223.00,25.52,83.98,2.59,61.00,grapes,1.2,5000
13.00,94.00,174.00,21.19,82.33,5.51,61.00,grapes,1.2,5000
20.00,81.00,20.00,18.54,62.71,6.47,61.00,lentil,1.12,800
17.00,49.00,25.00,28.00,65.58,8.37,61.00,lentil,1.12,800
35.00,50.00,22.00,20.58,69.00,5.22,61.00,maize,0.32,2600
68.00,40.00,22.00,19.85,61.25,6.07,61.00,maize,0.32,2600
73.00,66.00,13.00,22.27,59.52,6.38,61.00,maize,0.32,2600
14.00,23.00,15.00,32.61,47.75,4.48,61.00,mango,0.76,3000
20.00,21.00,33.00,29.09,45.57,6.62,61.00,mango,0.76,3000
111.00,20.00,27.00,24.92,80.62,4.97,61.00,watermelon,0.4,17700
89.00,14.00,32.00,25.76,87.59,6.97,61.00,watermelon,0.4,17700
17.00,45.00,17.00,29.91,85.85,6.73,61.07,mungbean,2.7,600
18.00,35.00,14.00,29.00,83.79,9.61,61.16,mungbean,2.7,600
28.00,31.00,22.00,28.44,87.91,5.14,61.36,mungbean,2.7,600
56.00,69.00,12.00,30.33,65.63,4.13,62.00,blackgram,0.59,800
36.00,61.00,21.00,33.37,65.68,5.80,62.00,blackgram,0.59,800
30.00,88.00,19.00,27.33,69.09,5.85,62.00,blackgram,0.59,800
44.00,72.00,23.00,31.36,64.25,6.99,62.00,blackgram,0.59,800
30.00,40.00,78.00,18.81,15.22,8.09,62.00,chickpea,0.78,1000
49.00,53.00,60.00,18.90,19.76,8.32,62.00,chickpea,0.78,1000
18.00,107.00,247.00,21.01,81.18,5.53,62.00,grapes,1.2,5000
20.00,39.00,20.00,19.56,64.45,8.94,62.00,lentil,1.12,800
90.00,29.00,17.00,18.88,65.77,6.00,62.00,maize,0.32,2600
64.00,52.00,14.00,20.58,65.35,6.76,62.00,maize,0.32,2600
113.00,15.00,48.00,25.16,80.28,7.64,62.00,watermelon,0.4,17700
28.00,47.00,32.00,29.59,89.99,5.79,62.30,mungbean,2.7,600
23.00,30.00,26.00,27.83,88.73,5.69,62.47,mungbean,2.7,600
43.00,79.00,21.00,32.89,64.59,5.44,63.00,blackgram,0.59,800
52.00,60.00,22.00,31.43,62.99,6.64,63.00,blackgram,0.59,800
38.00,43.00,17.00,27.26,68.01,9.93,63.00,blackgram,0.59,800
24.00,70.00,72.00,19.03,18.67,5.25,63.00,chickpea,0.78,1000
37.00,61.00,54.00,18.17,14.70,9.24,63.00,chickpea,0.78,1000
93.00,29.00,16.00,25.31,77.92,5.95,63.00,cotton,0.55,365
86.00,28.00,24.00,22.94,75.37,7.42,63.00,cotton,0.55,365
22.00,130.00,231.00,20.42,81.54,4.05,63.00,grapes,1.2,5000
23.00,126.00,253.00,33.78,81.16,4.18,63.00,grapes,1.2,5000
21.00,161.00,189.00,13.06,80.28,5.63,63.00,grapes,1.2,5000
21.00,124.00,137.00,27.03,83.17,7.42,63.00,grapes,1.2,5000
22.00,98.00,187.00,20.28,81.32,8.38,63.00,grapes,1.2,5000
15.00,74.00,19.00,29.77,66.29,5.72,63.00,lentil,1.12,800
18.00,66.00,20.00,24.85,68.98,6.79,63.00,lentil,1.12,800
81.00,28.00,12.00,23.56,71.59,8.20,63.00,maize,0.32,2600
102.00,51.00,157.00,21.78,85.00,5.81,63.00,pineapple,1.1,10000
84.00,18.00,37.00,25.90,81.97,9.31,63.00,watermelon,0.4,17700
17.00,70.00,29.00,29.73,82.89,6.20,63.17,mungbean,2.7,600
22.00,137.00,170,21.12,90.69,6.19,64.00,apple,0.68,7300
120.00,51.00,61.00,26.29,83.39,7.73,64.00,banana,1.25,14000
55.00,77.00,28.00,25.20,60.37,5.49,64.00,blackgram,0.59,800
49.00,53.00,11.00,32.75,67.78,5.49,64.00,blackgram,0.59,800
32.00,47.00,15.00,28.81,65.34,5.85,64.00,blackgram,0.59,800
46.00,61.00,22.00,25.26,61.37,5.87,64.00,blackgram,0.59,800
25.00,85.00,87.00,17.33,18.75,6.55,64.00,chickpea,0.78,1000
49.00,72.00,52.00,20.65,16.61,7.23,64.00,chickpea,0.78,1000
28.00,63.00,75.00,18.58,19.22,7.84,64.00,chickpea,0.78,1000
71.00,34.00,31.00,23.26,60.52,8.83,64.00,coffee,4.55,500
101.00,60.00,12.00,25.99,77.05,7.73,64.00,cotton,0.55,365
20.00,62.00,183.00,10.38,83.45,5.26,64.00,grapes,1.2,5000
19.00,126.00,231.00,29.67,83.71,5.36,64.00,grapes,1.2,5000
26.00,102.00,247.00,39.07,82.04,5.42,64.00,grapes,1.2,5000
27.00,82.00,24.00,24.87,64.00,6.24,64.00,lentil,1.12,800
19.00,59.00,3.00,23.90,66.32,7.80,64.00,lentil,1.12,800
26.00,94.00,14.00,25.27,67.10,9.50,64.00,lentil,1.12,800
20.00,12.00,12.00,24.36,92.40,7.52,64.00,orange,0.46,4800
27.00,19.00,8.00,34.91,92.88,8.39,64.00,orange,0.46,4800
92.00,19.00,53.00,24.69,85.57,6.72,64.00,watermelon,0.4,17700
74.00,20.00,54.00,25.79,84.27,7.28,64.00,watermelon,0.4,17700
116.00,10.00,54.00,26.84,83.85,7.76,64.00,watermelon,0.4,17700
130.00,60.00,57.00,28.08,76.06,5.91,65.00,banana,1.25,14000
36.00,97.00,72.00,19.46,18.73,8.68,65.00,chickpea,0.78,1000
26.00,95.00,204.00,12.09,83.59,4.02,65.00,grapes,1.2,5000
25.00,170.00,218.00,25.24,80.69,5.74,65.00,grapes,1.2,5000
27.00,123.00,177.00,29.59,80.92,5.93,65.00,grapes,1.2,5000
31.00,70.00,25.00,29.88,65.73,4.55,65.00,lentil,1.12,800
86.00,38.00,17.00,23.89,57.49,4.88,65.00,maize,0.32,2600
112.00,59.00,23.00,26.07,59.37,5.65,65.00,maize,0.32,2600
13.00,16.00,11.00,11.55,94.15,6.98,65.00,orange,0.46,4800
24.00,60.00,28.00,28.71,81.59,6.93,65.82,mungbean,2.7,600
59.00,64.00,42.00,27.40,82.96,5.83,66.00,banana,1.25,14000
60.00,65.00,21.00,27.25,66.10,6.40,66.00,blackgram,0.59,800
54.00,60.00,19.00,30.91,68.79,6.94,66.00,blackgram,0.59,800
48.00,96.00,28.00,27.83,67.59,7.30,66.00,blackgram,0.59,800
43.00,70.00,89.00,19.62,18.71,6.36,66.00,chickpea,0.78,1000
81.00,37.00,19.00,23.51,76.73,5.35,66.00,cotton,0.55,365
26.00,170.00,204.00,35.89,82.67,3.12,66.00,grapes,1.2,5000
25.00,124.00,213.00,21.77,80.55,5.75,66.00,grapes,1.2,5000
24.00,126.00,235.00,12.80,81.21,5.95,66.00,grapes,1.2,5000
29.00,69.00,20.00,22.95,24.04,4.51,66.00,kidneybeans,1.21,2000
26.00,69.00,14.00,24.16,19.28,4.84,66.00,kidneybeans,1.21,2000
13.00,56.00,13.00,23.32,73.45,5.80,66.00,maize,0.32,2600
65.00,37.00,19.00,20.27,63.91,5.88,66.00,maize,0.32,2600
106.00,17.00,62.00,25.10,87.53,7.51,66.00,watermelon,0.4,17700
19.00,32.00,16.00,27.11,89.90,6.48,66.46,mungbean,2.7,600
25.00,158.00,262,23.61,91.70,6.78,67.00,apple,0.68,7300
151.00,128.00,71.00,25.85,81.96,4.79,67.00,banana,1.25,14000
114.00,55.00,49.00,28.05,78.05,7.26,67.00,banana,1.25,14000
41.00,52.00,65.00,18.38,16.64,7.85,67.00,chickpea,0.78,1000
98.00,31.00,26.00,25.54,84.09,8.36,67.00,cotton,0.55,365
20.00,166.00,269.00,19.21,82.90,4.93,67.00,grapes,1.2,5000
32.00,169.00,190.00,29.12,82.79,5.64,67.00,grapes,1.2,5000
67.00,52.00,25.00,24.88,68.74,6.41,67.00,maize,0.32,2600
81.00,54.00,27.00,18.48,62.70,6.76,67.00,maize,0.32,2600
26.00,25.00,41.00,32.28,50.19,6.86,67.00,mango,0.76,3000
22.00,17.00,54.00,19.68,89.75,6.78,67.00,pomegranate,0.74,1700
152.00,24.00,51.00,24.47,84.16,5.66,67.00,watermelon,0.4,17700
19.00,46.00,21.00,28.56,83.64,7.24,67.79,mungbean,2.7,600
95.00,84.00,49.00,25.45,79.49,6.41,68.00,banana,1.25,14000
61.00,81.00,26.00,28.76,61.03,5.40,68.00,blackgram,0.59,800
36.00,48.00,124.00,17.07,17.54,6.58,68.00,chickpea,0.78,1000
78.00,43.00,21.00,24.89,75.62,7.49,68.00,cotton,0.55,365
19.00,189.00,140.00,26.92,80.77,6.77,68.00,grapes,1.2,5000
25.00,126.00,292.00,16.28,82.94,7.04,68.00,grapes,1.2,5000
24.00,147.00,220.00,29.37,81.54,7.57,68.00,grapes,1.2,5000
13.00,75.00,24.00,24.91,60.71,6.64,68.00,lentil,1.12,800
35.00,57.00,20.00,21.13,63.19,7.37,68.00,lentil,1.12,800
69.00,36.00,12.00,25.73,70.75,4.27,68.00,maize,0.32,2600
22.00,27.00,20.00,31.41,49.22,6.55,68.00,mango,0.76,3000
20.00,16.00,11.00,26.57,94.45,7.31,68.00,orange,0.46,4800
107.00,26.00,42.00,26.53,82.39,6.27,68.00,watermelon,0.4,17700
94.00,17.00,50.00,26.04,83.99,8.36,68.00,watermelon,0.4,17700
92.00,116.00,79.00,29.32,80.12,5.22,69.00,banana,1.25,14000
50.00,70.00,19.00,31.52,66.56,8.06,69.00,blackgram,0.59,800
26.00,22.00,31.00,26.92,91.20,5.21,69.00,coconut,0.32,5000
164.00,31.00,23.00,23.74,75.78,5.43,69.00,cotton,0.55,365
84.00,45.00,16.00,22.73,77.08,6.29,69.00,cotton,0.55,365
77.00,53.00,15.00,24.30,84.88,6.35,69.00,cotton,0.55,365
114.00,43.00,18.00,24.87,78.22,6.91,69.00,cotton,0.55,365
26.00,79.00,131.00,11.36,80.03,4.47,69.00,grapes,1.2,5000
35.00,114.00,222.00,13.43,80.07,5.21,69.00,grapes,1.2,5000
25.00,197.00,223.00,33.34,82.51,5.56,69.00,grapes,1.2,5000
18.00,62.00,19.00,21.35,62.60,4.20,69.00,lentil,1.12,800
22.00,72.00,24.00,24.98,66.90,6.12,69.00,lentil,1.12,800
21.00,59.00,14.00,26.59,66.14,7.83,69.00,lentil,1.12,800
25.00,41.00,14.00,19.13,62.58,8.70,69.00,lentil,1.12,800
92.00,51.00,21.00,21.54,59.64,4.84,69.00,maize,0.32,2600
88.00,30.00,18.00,18.93,72.80,5.56,69.00,maize,0.32,2600
21.00,13.00,11.00,10.01,90.22,7.42,69.00,orange,0.46,4800
15.00,15.00,49.00,22.63,88.46,6.92,69.00,pomegranate,0.74,1700
13.00,18.00,28.00,23.65,93.33,8.57,69.00,pomegranate,0.74,1700
90.00,21.00,62.00,25.85,89.13,5.14,69.00,watermelon,0.4,17700
114.00,8.00,47.00,24.41,89.82,6.18,69.00,watermelon,0.4,17700
123.00,74.00,25.00,26.60,79.36,6.83,70.00,banana,1.25,14000
127.00,80.00,60.00,29.24,77.32,6.92,70.00,banana,1.25,14000
130.00,48.00,33.00,28.01,76.53,6.95,70.00,banana,1.25,14000
48.00,68.00,8.00,29.58,66.18,5.69,70.00,blackgram,0.59,800
22.00,35.00,22.00,27.74,68.54,6.64,70.00,blackgram,0.59,800
38.00,80.00,3.00,26.42,63.65,7.90,70.00,blackgram,0.59,800
27.00,51.00,69.00,17.85,19.09,7.06,70.00,chickpea,0.78,1000
41.00,76.00,75.00,19.95,14.83,7.59,70.00,chickpea,0.78,1000
48.00,60.00,96.00,18.89,14.99,7.80,70.00,chickpea,0.78,1000
44.00,74.00,107.00,20.71,15.28,8.15,70.00,chickpea,0.78,1000
53.00,60.00,92.00,17.48,15.76,8.59,70.00,chickpea,0.78,1000
39.00,69.00,78.00,19.71,17.64,8.74,70.00,chickpea,0.78,1000
63.00,61.00,79.00,17.09,18.25,9.54,70.00,chickpea,0.78,1000
32.00,66.00,57.00,18.20,17.41,10.03,70.00,chickpea,0.78,1000
34.00,132.00,254.00,11.19,80.81,6.81,70.00,grapes,1.2,5000
26.00,111.00,198.00,12.76,81.62,8.18,70.00,grapes,1.2,5000
26.00,90.00,22.00,17.14,20.60,4.18,70.00,kidneybeans,1.21,2000
29.00,81.00,23.00,17.06,23.77,5.07,70.00,kidneybeans,1.21,2000
91.00,54.00,22.00,23.34,59.25,4.50,70.00,maize,0.32,2600
58.00,46.00,20.00,24.89,65.61,5.47,70.00,maize,0.32,2600
14.00,25.00,31.00,35.90,54.26,4.96,70.00,mango,0.76,3000
28.00,29.00,36.00,32.45,50.70,5.74,70.00,mango,0.76,3000
21.00,16.00,6.00,13.36,91.36,6.69,70.00,orange,0.46,4800
17.00,24.00,38.00,24.77,85.64,6.12,70.00,pomegranate,0.74,1700
116.00,16.00,42.00,25.08,83.46,8.21,70.00,watermelon,0.4,17700
16.00,24.00,18.00,29.35,85.60,5.77,70.04,mungbean,2.7,600
43.00,39.00,72.00,19.26,14.28,5.21,71.00,chickpea,0.78,1000
44.00,24.00,47.00,20.68,19.85,6.32,71.00,chickpea,0.78,1000
60.00,91.00,38.00,18.49,14.72,7.88,71.00,chickpea,0.78,1000
38.00,65.00,99.00,18.01,18.31,9.19,71.00,chickpea,0.78,1000
135.00,58.00,24.00,23.97,76.98,7.66,71.00,cotton,0.55,365
23.00,75.00,14.00,19.26,20.51,6.36,71.00,kidneybeans,1.21,2000
14.00,56.00,20.00,21.66,63.58,5.81,71.00,lentil,1.12,800
9.00,82.00,26.00,27.48,62.05,6.65,71.00,lentil,1.12,800
16.00,35.00,32.00,31.99,50.85,4.05,71.00,mango,0.76,3000
16.00,29.00,24.00,28.71,50.44,7.55,71.00,mango,0.76,3000
118.00,14.00,50.00,26.11,87.64,8.19,71.00,watermelon,0.4,17700
21.00,32.00,25.00,27.54,85.57,7.73,71.76,mungbean,2.7,600
18.00,149.00,160,22.37,90.79,5.61,72.00,apple,0.68,7300
48.00,67.00,20.00,33.05,68.94,4.29,72.00,blackgram,0.59,800
30.00,73.00,21.00,33.49,62.73,4.37,72.00,blackgram,0.59,800
57.00,79.00,20.00,31.49,63.06,6.92,72.00,blackgram,0.59,800
30.00,69.00,27.00,26.87,61.61,8.12,72.00,blackgram,0.59,800
43.00,80.00,28.00,29.40,64.26,8.51,72.00,blackgram,0.59,800
49.00,64.00,97.00,21.00,19.86,5.38,72.00,chickpea,0.78,1000
44.00,67.00,83.00,20.99,19.33,5.45,72.00,chickpea,0.78,1000
24.00,46.00,66.00,19.69,19.44,5.71,72.00,chickpea,0.78,1000
38.00,125.00,200.00,41.21,81.61,5.26,72.00,grapes,1.2,5000
21.00,140.00,213.00,27.83,83.51,5.61,72.00,grapes,1.2,5000
30.00,142.00,199.00,31.31,82.56,7.11,72.00,grapes,1.2,5000
26.00,122.00,165.00,36.73,80.59,7.48,72.00,grapes,1.2,5000
14.00,76.00,15.00,17.00,19.91,5.50,72.00,kidneybeans,1.21,2000
26.00,50.00,18.00,23.89,61.79,3.95,72.00,lentil,1.12,800
108.00,38.00,19.00,25.95,61.89,7.79,72.00,maize,0.32,2600
9.00,22.00,34.00,28.12,46.17,4.84,72.00,mango,0.76,3000
14.00,21.00,15.00,15.63,94.26,7.24,72.00,orange,0.46,4800
52.00,22.00,61.00,25.29,89.64,7.20,72.00,watermelon,0.4,17700
104.00,88.00,38.00,25.99,83.34,6.24,73.00,banana,1.25,14000
56.00,82.00,20.00,30.03,67.89,5.52,73.00,blackgram,0.59,800
37.00,75.00,16.00,29.79,63.39,6.87,73.00,blackgram,0.59,800
35.00,63.00,26.00,32.80,68.78,7.16,73.00,blackgram,0.59,800
23.00,60.00,75.00,18.55,16.03,4.88,73.00,chickpea,0.78,1000
209.00,52.00,20.00,25.85,84.17,5.85,73.00,cotton,0.55,365
81.00,53.00,14.00,22.08,82.83,6.80,73.00,cotton,0.55,365
75.00,55.00,25.00,23.54,75.98,6.98,73.00,cotton,0.55,365
97.00,52.00,11.00,23.09,83.56,7.32,73.00,cotton,0.55,365
22.00,142.00,224.00,35.12,82.27,4.37,73.00,grapes,1.2,5000
19.00,49.00,22.00,23.83,24.75,3.61,73.00,kidneybeans,1.21,2000
29.00,53.00,13.00,18.10,18.29,8.93,73.00,kidneybeans,1.21,2000
89.00,42.00,12.00,18.05,62.89,8.25,73.00,maize,0.32,2600
12.00,18.00,32.00,29.74,47.55,5.37,73.00,mango,0.76,3000
27.00,30.00,33.00,28.93,47.94,5.57,73.00,mango,0.76,3000
20.00,32.00,37.00,27.11,50.71,7.31,73.00,mango,0.76,3000
157.00,50.00,215.00,20.88,86.00,6.60,73.00,pineapple,1.1,10000
88.00,23.00,41.00,26.28,86.63,6.95,73.00,watermelon,0.4,17700
111.00,63.00,31.00,28.23,80.64,5.99,74.00,banana,1.25,14000
103.00,58.00,64.00,25.06,84.97,7.20,74.00,banana,1.25,14000
